t,y
1,-5.809108283077831
2,-5.50643739630634
3,-6.220421544601805
4,-6.126882930566951
5,-6.075294384039
6,-6.370488465799546
7,-6.287266140930048
8,-6.4089353929735005
9,-6.459670525209126
10,-6.488116639021126
11,-6.488116639021126
12,-6.437588167050272
13,-6.422393322637465
14,-6.381978066394147
15,-6.441621474686417
16,-6.361935261159396
17,-6.352568125602698
18,-6.24176959154225
19,-6.386158178123931
20,-6.291579099865287
21,-6.127698015295332
22,-6.47755576649368
23,-5.920637835606954
24,-6.052713355322202
25,-6.175223537524454
26,-6.282246306789284
27,-6.229497773042462
28,-6.287350298372789
29,-6.264361185363884
30,-6.298345682674252
31,-6.27083521030723
32,-6.177488675883306
33,-6.207205724047922
34,-6.258395426339729
35,-6.236141669151619
36,-6.226451239082446
37,-6.258395426339729
38,-6.290157859908472
39,-6.267184214548858
40,-6.2220840561953406
41,-6.274088367704952
42,-6.299620827258105
43,-6.307571720320706
44,-6.3119585705688195
45,-6.3232606775724065
46,-6.3004440935084425
47,-6.305394801066432
48,-6.291579099865287
49,-5.682824953404712
50,-5.903089986991944
51,-5.886641668732906
52,-5.523711941772605
53,-5.984954760825584
54,-5.987162775294828
55,-5.939585487577653
56,-6.033013974882062
57,-6.041292808912715
58,-5.980572126747332
59,-5.952725132615821
60,-5.898424753744067
61,-5.980779823777548
62,-6.032428624924318
63,-5.917035206222248
64,-5.875985121112592
65,-5.532761979212433
66,-5.2050068483098535
67,-5.146180154143237
68,-5.651695136951839
69,-5.759076521205745
70,-5.803409345882693
71,-5.767003889607846
72,-5.553346353246993
73,-5.619698289694815
74,-5.740943947166567
75,-5.85078088734462
76,-5.178191801574715
77,-5.607962901739753
78,-5.634746073040879
79,-5.887646399040841
80,-5.073670417737914
81,-5.731539041315198
82,-5.853871964321762
83,-5.650673896447669
84,-5.201314833312957
85,-5.369445008193181
86,-5.892450870255313
87,-5.853871964321762
88,-5.926190036009006
89,-5.9189228598449555
90,-5.094312032288148
91,-5.065754118976929
92,-5.576672191437555
93,-5.763022117939657
94,-5.805416287542846
95,-5.8326826652518236
96,-5.690369832574102
97,-6.173763177345083
98,-6.291048242346674
99,-5.856829006799821
100,-6.281768272088402
101,-6.088789106862447
102,-6.183460432200154
103,-6.290242579632107
104,-6.248086089006956
105,-6.310180767413265
106,-6.346739233962854
107,-4.926006866676091
108,-6.026352689851279
109,-6.027669855140405
110,-5.885722703438414
111,-6.128251981008129
112,-6.21033116883722
113,-6.256549033631012
114,-6.196594101343438
115,-6.226798857643655
116,-6.174541424963606
117,-6.244391898284329
118,-6.297117308925498
119,-6.186352304653103
120,-6.197226274708024
121,-5.967280533182011
122,-5.903089986991944
123,-6.0767689378422824
124,-6.2065413977646
125,-6.111525645524287
126,-5.9977259182250515
127,-4.589982391796947
128,-5.138555205225863
129,-5.649219134652261
130,-6.029478789995476
131,-6.182368532809485
132,-5.968490548773871
133,-6.181378273624111
134,-6.001446435185648
135,-5.950781977329818
136,-6.214296547706406
137,-5.887646399040841
138,-6.104025267640935
139,-5.89067461222951
140,-5.906053276109417
141,-6.162980051459091
142,-6.1729054792465154
143,-6.22767829327708
144,-6.06398920428479
145,-5.645795488629687
146,-6.040815457268809
147,-6.176493167362704
148,-6.044288203038726
149,-5.805000296627991
150,-6.0968557295904615
151,-6.117902566962582
152,-6.192752567375985
153,-6.193616498175833
154,-6.2032869367191035
155,-6.09410971804891
156,-6.138361060408588
157,-5.212256228353533
158,-5.880826621310685
159,-6.0004127758573995
160,-5.954677021213342
161,-6.045841944921041
162,-6.0663861879022125
163,-6.000575821754734
164,-6.059458613574813
165,-5.895171596346344
166,-5.83238732727247
167,-5.835052627378158
168,-4.795608668080701
169,-6.247951552180561
170,-6.139916654498765
171,-6.186702629604205
172,-5.544355859793932
173,-5.937324022809257
174,-6.219880794367708
175,-6.307064997468863
176,-6.278931698202841
177,-6.278581003197804
178,-6.209345455651667
179,-6.247106845115407
180,-6.17935527395117
181,-6.182368532809485
182,-6.1767051336624474
183,-6.22215648387646
184,-6.317854923626168
185,-6.275294145963909
186,-6.238824186844268
187,-6.262389967083507
188,-6.29666562455623
189,-6.284393548971461
190,-6.2168113089247425
191,-6.265800439313769
192,-6.309338853553419
193,-6.242053859098864
194,-6.308034897232639
195,-6.0636370804022555
196,-6.043459407985394
197,-5.972548457127509
198,-5.785156151952302
199,-5.785156151952302
200,-5.976644639173554
201,-6.165325025537256
202,-6.262807357295263
203,-6.307483552126341
204,-6.30189945437661
205,-6.13084164702009
206,-6.287623922743424
207,-6.282724868250274
208,-6.269520544437852
209,-6.202368967622587
210,-6.304430772963815
211,-5.017378306087357
212,-6.027623571125558
213,-6.177488675883306
214,-6.2380721615794705
215,-6.185752404268079
216,-6.206209615309182
217,-4.722849386036203
218,-5.6604988710918915
219,-5.650673896447669
220,-5.790216985151485
221,-5.679853713888946
222,-5.6331569610241345
223,-4.2618539112879406
224,-4.253735653627575
225,-4.975822306181062
226,-5.752026733638194
227,-5.79547305700016
228,-5.588211995456131
229,-5.529332301742697
230,-5.412289034981089
231,-4.5951662833800615
232,-5.42013069582473
233,-5.645411412122759
234,-5.370590400897281
235,-5.328295032823183
236,-5.485950577264618
237,-5.622466095479032
238,-5.649364391741046
239,-5.645603407918062
240,-5.7442452133569555
241,-6.094204119632131
242,-6.087246696328677
243,-5.986952003884769
244,-5.785156151952302
245,-5.872895201635193
246,-6.0297810130291785
247,-6.002591770353221
248,-6.030223102280113
249,-5.97061622231479
250,-5.6042805604623585
251,-5.767003889607846
252,-5.788946237320064
253,-5.883641349498307
254,-5.4914366160946315
255,-5.850472986245652
256,-5.662391007805636
257,-5.649751981665837
258,-5.695671070175131
259,-5.4165744995934935
260,-5.704048252530461
261,-5.826813731587726
262,-5.850626909508615
263,-5.637800361131114
264,-5.5908703037179714
265,-5.65447924202364
266,-5.749092300299144
267,-5.492785253097667
268,-5.904046487388781
269,-6.0638885683251456
270,-6.083914700156297
271,-6.032709494445443
272,-6.007313960837872
273,-5.9711137134473375
274,-5.494510861583276
275,-6.007060074595716
276,-6.075397698317498
277,-6.017378306087357
278,-6.044288203038726
279,-5.876148359032914
280,-6.0233405760653405
281,-6.074172425375258
282,-5.840057021952847
283,-5.4768065053031645
284,-5.581698708680254
285,-5.741961661629444
286,-6.055393966257778
287,-5.916139199133427
288,-6.020383345367787
289,-6.312760962449546
290,-6.359419193510347
291,-6.234685431453766
292,-6.237677868989755
293,-6.214670164989233
294,-6.401674667095576
295,-6.422939261718663
296,-6.256549033631012
297,-6.4179366370882915
298,-6.386660390234073
299,-6.291579099865287
300,-6.279840696594043
301,-6.2403321553103694
302,-6.322826645757823
303,-6.300943145452332
304,-6.417340176177691
305,-6.402332232520906
306,-6.3583276267753135
307,-6.449710483015236
308,-6.30394956019225
309,-6.268713492903576
310,-6.313989708684715
311,-5.292387248098696
312,-6.200918036134232
313,-6.230345788685344
314,-6.199282921717615
315,-6.129230434615256
316,-6.000967381834065
317,-6.034292779034985
318,-6.018181392829336
319,-6.117988038373341
320,-6.184389050002852
321,-6.25447630501938
322,-6.18966665133885
323,-6.233159761667956
324,-6.231694960874042
325,-6.052541770086538
326,-6.107321163268626
327,-6.155491759951748
328,-6.262767588559197
329,-6.2716462179787715
330,-6.066335588521763
331,-6.256411849840096
332,-6.330683119433888
333,-6.1784209720879915
334,-6.146529943985261
335,-5.348213345129461
336,-5.491773382924396
337,-5.5788486989990735
338,-5.939113376995338
339,-5.621647529721071
340,-5.125358757650367
341,-5.342203417468183
342,-5.864787814792419
343,-5.915155721759785
344,-6.013844326098964
345,-3.946537395074545
346,-5.6252516539898965
347,-5.643687258849355
348,-5.668522089356258
349,-5.808199789985292
350,-4.174362953333153
351,-5.655362154082221
352,-5.445480555523389
353,-5.5718652059712115
354,-5.680841870133012
355,-5.017423510956835
356,-5.662091700776626
357,-5.8598063214213685
358,-5.953212282955069
359,-5.747146969020107
360,-5.438779321066057
361,-5.785156151952302
362,-5.754363970593797
363,-5.804100347590766
364,-5.785156151952302
365,-5.806875401645538
366,-5.845956619742857
367,-5.939302159646388
368,-5.9189228598449555
369,-5.87942606879415
370,-5.770830297460899
371,-5.862804188059452
372,-5.772113295386326
373,-5.97469413473523
374,-5.894234422995731
375,-5.783240483780426
376,-5.884306298117247
377,-5.924270600259101
378,-5.212840731302864
379,-5.361835337205685
380,-5.266642212074415
381,-5.785156151952302
382,-5.886056647693163
383,-5.910094888560602
384,-5.786415842195997
385,-6.205111304611624
386,-5.467595999793674
387,-6.305723936725916
388,-6.305394801066432
389,-6.300574225695365
390,-6.319619155498093
391,-6.199609452476598
392,-5.695563331528609
393,-6.234331445240986
394,-6.219682687859849
395,-6.099755802272851
396,-6.164309428507575
397,-6.305723936725916
398,-6.2978064944616925
399,-4.516626693910973
400,-5.4469669837975605
401,-5.812056470937473
402,-6.106446283206827
403,-6.1350886270051195
404,-6.2086427420451695
405,-6.227990187601888
406,-6.277366077466188
407,-6.326219051423294
408,-6.291005801764025
409,-6.145268982786058
410,-6.24256601006173
411,-6.202368967622587
412,-5.049622973863898
413,-4.8996294548824375
414,-5.377526928721877
415,-4.396044114564618
416,-4.3952341152961125
417,-5.670347924271207
418,-5.614393726401688
419,-5.651403108823452
420,-5.844663962534939
421,-5.285544497509527
422,-6.025373186126967
423,-6.057942316158605
424,-6.097181531917746
425,-6.189767482004916
426,-6.010483441383674
427,-5.616184634019569
428,-4.114412643810344
429,-4.503070351926785
430,-4.940910134083175
431,-5.1999878476926895
432,-5.160160714585924
433,-5.3757952794322685
434,-6.154281982033341
435,-6.068898254367361
436,-5.9582126810282485
437,-5.945004138470859
438,-6.099509975201059
439,-5.984954760825584
440,-6.100959630630748
441,-6.0952574135655615
442,-5.410245819329621
443,-5.807920635560189
444,-6.123479067585685
445,-6.136781264051547
446,-5.937136097889881
447,-5.867500169748486
448,-6.064366796960572
449,-6.148420636707608
450,-6.162980051459091
451,-6.109551035220382
452,-6.140261433802853
453,-6.151195298948196
454,-6.105130343254747
455,-6.131884794672783
456,-6.157921472901469
457,-6.342944147142896
458,-6.19820196774472
459,-6.11690664142431
460,-6.12000147423665
461,-6.139632043118184
462,-6.1019470691682685
463,-6.176493167362704
464,-6.241088107602026
465,-5.10262036212622
466,-5.823908740944319
467,-6.063410865717792
468,-6.148130399270234
469,-6.183758700008217
470,-5.852246406035024
471,-5.645891560852599
472,-5.742081549685942
473,-5.922541247632173
474,-6.024166253024377
475,-5.960486738149787
476,-5.782516055786093
477,-5.978603943258029
478,-5.730253626869233
479,-5.717547832137568
480,-5.763147963921964
481,-6.107321163268626
482,-6.154281982033341
483,-5.822391364120814
484,-5.634512015109101
485,-5.744606874292696
486,-6.033987401033181
487,-6.1778319206319825
488,-6.212805284479314
489,-6.2716462179787715
490,-6.246321207725927
491,-6.16937925757444
492,-6.213585783697013
493,-6.277674634837536
494,-6.239671774739264
495,-6.241693818274693
496,-6.288952396132966
497,-6.309803919971486
498,-6.14051644671771
499,-6.26235023654813
500,-6.334864788181995
501,-6.284623494792863
502,-6.276503281276829
503,-6.26072440614697
504,-6.248720896016658
505,-4.937324022809257
506,-5.8166589663355746
507,-5.294114915482032
508,-5.396125197643281
509,-5.639075407010965
510,-5.336251973641605
511,-5.679853713888946
512,-5.841336019186011
513,-5.863279432843593
514,-5.876148359032914
515,-5.856829006799821
516,-5.393672387532808
517,-5.604542551913237
518,-5.687928478697069
519,-5.595080800753686
520,-5.548213564475709
521,-5.459545386328588
522,-5.357461289999096
523,-4.853716886840413
524,-5.5110616935747645
525,-5.066753209823058
526,-5.32358076828164
527,-5.8644698250422405
528,-6.032873418923587
529,-5.837062392043082
530,-6.0735803751941395
531,-5.9153343702534205
532,-5.882728704344236
533,-6.032920265855503
534,-6.004803708402821
535,-5.785156151952302
536,-5.5403813760826255
537,-5.842921175046796
538,-6.015292705517327
539,-5.831134376688963
540,-5.823908740944319
541,-6.073143291050307
542,-5.99118699094791
543,-6.001490011704627
544,-6.031050319018657
545,-6.054408332967993
546,-5.98453545644167
547,-5.6017994927805725
548,-5.670347924271207
549,-6.0004127758573995
550,-5.967885119565362
551,-5.982549270489464
552,-5.97469413473523
553,-5.998742368687769
554,-6.124880834537432
555,-6.121248479826998
556,-6.1432711096171175
557,-6.109173940407688
558,-5.999164786757414
559,-6.134274356998744
560,-5.767003889607846
561,-5.9623743300852805
562,-6.1128892968751165
563,-5.930701987884471
564,-6.191434576729837
565,-6.027970821529375
566,-6.226067352532355
567,-6.2268354652621625
568,-6.165515714665195
569,-6.22767829327708
570,-6.2716462179787715
571,-6.274476303846783
572,-6.2839966563652006
573,-6.104025267640935
574,-6.117447003312964
575,-6.207871068086793
576,-6.1727438391963005
577,-6.272946988646143
578,-6.2951848176833245
579,-6.263404325749262
580,-6.408851882833468
581,-5.887478782488431
582,-6.400936094120583
583,-6.386158178123931
584,-6.360837360132071
585,-6.206436596972126
586,-6.282329496997738
587,-6.419531216048998
588,-6.288150608492692
589,-6.450996737974212
590,-6.4089353929735005
591,-6.442492798094342
592,-6.497572880015567
593,-6.485385846532016
594,-6.434152181326483
595,-6.47755576649368
596,-5.936948254252911
597,-6.496209316942819
598,-6.379265510214256
599,-6.369521273797363
600,-6.21833436488332
601,-5.875985121112592
602,-5.871035611512275
603,-6.31695296176115
604,-6.29666562455623
605,-5.611099891645763
606,-5.81509573189223
607,-6.139691945805438
608,-6.186702629604205
609,-6.218927111336887
610,-6.284790804621342
611,-6.115105557999737
612,-6.106238237942057
613,-5.927382523454764
614,-6.195077226427001
615,-6.257274868695302
616,-5.92701525537207
617,-6.000173752545588
618,-6.03942220798619
619,-6.087432558916622
620,-5.9165600922339
621,-5.181510177795786
622,-5.789480835918916
623,-6.3004440935084425
624,-6.111904788738453
625,-5.440063465905516
626,-5.554162367813552
627,-4.391848519686128
628,-5.651597772422365
629,-5.653647025549361
630,-5.876148359032914
631,-5.714442690992226
632,-5.407545649445495
633,-5.636388020107856
634,-5.8297382846050425
635,-4.508638306165728
636,-5.42021640338319
637,-5.433356311078886
638,-5.58644878682445
639,-5.752947825143385
640,-5.79162583540529
641,-5.782252926737207
642,-5.838182959832308
643,-5.806875401645538
644,-5.920637835606954
645,-6.025949097207123
646,-6.041675068355947
647,-5.920637835606954
648,-5.191890351759965
649,-5.9064032313917725
650,-5.830987208106768
651,-5.872895201635193
652,-5.891012387460928
653,-5.8584718411680585
654,-5.680841870133012
655,-5.809528229426655
656,-5.6479622708487724
657,-5.6343248595440825
658,-5.789213454360891
659,-5.7756612091403445
660,-5.546872852772209
661,-5.8297382846050425
662,-5.882562974717381
663,-5.806875401645538
664,-5.8297382846050425
665,-5.8550368138763345
666,-5.792769690151647
667,-5.6115879378023426
668,-5.785156151952302
669,-5.849166836443368
670,-5.414257352609543
671,-5.776244546342759
672,-5.697831474987884
673,-5.692503962086787
674,-5.962175249411658
675,-6.0631094293136005
676,-6.325092953180871
677,-6.058911141659438
678,-6.171018045992077
679,-6.3097152974873705
680,-6.310469165669962
681,-6.323695143590274
682,-6.101768615486903
683,-6.223226197587893
684,-6.106446283206827
685,-6.138122232022764
686,-6.167124008166246
687,-6.240181122625174
688,-6.194363233694065
689,-6.047268081585914
690,-6.1787649547608465
691,-6.259894014915201
692,-6.100959630630748
693,-6.2475481915836895
694,-5.974827311479518
695,-5.468201866124628
696,-4.924270600259101
697,-5.120302147919475
698,-5.159266765388193
699,-5.298755913889033
700,-5.458420756053419
701,-5.5717841884386745
702,-5.692503962086787
703,-5.2645009036992265
704,-5.214865997631094
705,-4.659456742485806
706,-4.982528411505195
707,-5.393887464660841
708,-5.7836361362358835
709,-5.948750978389484
710,-5.976644639173554
711,-5.119357873595715
712,-5.98895847436105
713,-5.632271453913024
714,-5.53261390744765
715,-6.0638885683251456
716,-4.206436596972126
717,-5.290454451273495
718,-5.819085996383914
