Beta,mu_EI,mu_IR,eta,N,rho,loglik,loglik.se
0.8775716459057034,0.09094898760441622,0.21921337569320762,0.49468309603701344,10000000,0.1,-10632.946295746802,1.0792883600039809
0.5041703612858013,0.170705043674852,0.3206538434492431,0.8661486148663285,10000000,0.1,-17206.35097021153,0.8525009830621473
0.8672490062881564,0.12112949390895411,0.41442047615643707,0.7339976280007667,10000000,0.1,-19960.926173066353,82.60714510859361
0.7287394775804118,0.18908615747023547,0.44685885055349966,0.8216530450682866,10000000,0.1,-48957.44286224616,1004.9197993459921
0.8347343174807648,0.06466910381333607,0.28464409960140946,0.5984850322325137,10000000,0.1,-51793.362599727116,56.44579592377849
0.9538788329143983,0.08737822444095364,0.5636421963965995,0.755942907213531,10000000,0.1,-69834.41251230957,1148.627194706774
0.7694836337688495,0.05572568691079106,0.2973826438473989,0.7083263869625437,10000000,0.1,-77195.66071875927,1004.2587951692883
0.7485287073124962,0.05607815664535306,0.29545500924099016,0.7218862590309411,10000000,0.1,-79442.49964977425,177.19011363786996
0.5966915453479579,0.06127913983202825,0.22560333668285543,0.7338068034612825,10000000,0.1,-80113.10558913575,71.25762253903957
0.7639092714756764,0.060048460927309026,0.3237108996497187,0.6941989858295389,10000000,0.1,-81461.63152139114,651.4320254601276
0.7492581609377578,0.048869906975433655,0.2338204405494791,0.6628938388060454,10000000,0.1,-84177.6783971321,614.6715923453172
0.812860473505784,0.06115049593791509,0.4978568510115934,0.9028741231905999,10000000,0.1,-93932.02722514971,100.06200197965516
0.307433623634575,0.10545874988159969,0.027875154369446847,0.6783995242966557,10000000,0.1,-98610.16144934905,53.24972386703158
0.7849687390543661,0.035900936762982574,0.11326241689092591,0.7388719348185422,10000000,0.1,-105225.08869852348,58.23863534715492
0.8483272997631823,0.15681553832396367,0.2794479409045996,0.5712612261646993,10000000,0.1,-105322.73394212633,145.00173921154928
0.8948641758142067,0.05734945588338771,0.45725942674377634,0.7546792362389482,10000000,0.1,-108108.32675544012,28.26935071181069
0.8112586993550138,0.06645926928012426,0.41431677723623783,0.6944424196347361,10000000,0.1,-120743.21927335364,259.1661572694283
0.8910784508252519,0.046538781846737716,0.42052111593950275,0.7851297851083406,10000000,0.1,-121926.4526874681,274.3922586140267
0.5939823165412285,0.0408820035385826,0.2634818028186724,0.9163773879238822,10000000,0.1,-147828.68483155858,343.420305452522
0.978233720782221,0.16576039909571877,0.23929420296782095,0.3690538500762768,10000000,0.1,-149629.44711807882,566.688573543317
0.6934537735903703,0.03448687937132592,0.13045904953536402,0.8222400562288287,10000000,0.1,-150247.48533884768,54.88760294646781
0.6391031038932649,0.03919808915423525,0.14822439192210846,0.8461349733326571,10000000,0.1,-158249.59844168933,285.7141978700354
0.8486483256095779,0.053605733444541497,0.5667986377130617,0.8939528607500287,10000000,0.1,-165380.5185171992,148.73674168713913
0.5584355975970593,0.3245814730279268,0.20395338687425002,0.4626113073467558,10000000,0.1,-174873.71735911805,397.62438824806014
0.5602556479299262,0.04828959025448119,0.28779732204443675,0.7754516035294365,10000000,0.1,-186531.7911027712,120.80176404431113
0.4791066694539434,0.047531602558590305,0.126432821034315,0.8952565177422717,10000000,0.1,-191490.4697120047,12.111166107794338
0.9472847449586779,0.042980814572996046,0.5436109768176003,0.8272836774499266,10000000,0.1,-201353.09023085298,683.8898474621003
0.9100871686658472,0.034865446226245995,0.27409019195748807,0.5582825401350935,10000000,0.1,-201433.83810644585,623.0632262195023
0.8635238295830698,0.046168389798337324,0.5682364479648397,0.900340043978635,10000000,0.1,-204010.89084735408,414.95161843227385
0.9999410683957857,0.03711068364823071,0.4428180673419336,0.710242262511835,10000000,0.1,-210444.07917941958,460.2566423414158
0.670974939288959,0.030975980462740173,0.10781729328911392,0.4292190756622763,10000000,0.1,-220489.52518004677,18.970545491430677
0.39511918758073117,0.0424748436376861,0.20380691062582978,0.8361609732458524,10000000,0.1,-229926.80416131785,242.7658058298257
0.6728286884968498,0.03449319771391811,0.2502309522111099,0.6586649496681459,10000000,0.1,-237623.2922690654,501.4504881409725
0.7486574762379187,0.03388809463786105,0.2872248907403722,0.6616252112299111,10000000,0.1,-246843.9805842783,436.118114608823
0.715702145280544,0.02894505929802726,0.2508542621364243,0.6900516856664218,10000000,0.1,-249577.21566492764,384.7879575449827
0.28330414788111924,0.09106102978485375,0.10301931538298532,0.49407739927783495,10000000,0.1,-254506.2430871166,56.711941823465175
0.9355669927477775,0.02844439251187441,0.3115196060834501,0.6295425088619254,10000000,0.1,-262314.63211978396,300.525134587608
0.8127143689541737,0.030100294690043092,0.25750955219367083,0.5937418370594646,10000000,0.1,-262976.51782268577,939.1394088120782
0.844529729119868,0.027777303115143523,0.2687007134786329,0.6252602290818454,10000000,0.1,-264234.8798858389,814.5146461110678
0.4746626546515002,0.38733427308746304,0.21621988337199868,0.5078797418794792,10000000,0.1,-264496.1898407106,1655.7370697213744
0.8400022653907456,0.025045907714128006,0.22432995806846465,0.5922576106586193,10000000,0.1,-264751.19562436757,1443.5321545242389
0.4277134580835768,0.03400716488618108,0.23540009285626032,0.9427436234863209,10000000,0.1,-267471.68208997353,369.48104842153845
0.7902587249824872,0.02480111027249312,0.1901233703896941,0.5541967034829488,10000000,0.1,-274410.9672124234,33.53616530527943
0.802347133990839,0.02391426869397948,0.1732188030084636,0.5184677063909624,10000000,0.1,-285305.7766488108,447.68805617359465
0.792070965658846,0.027469028598897396,0.3050721213865617,0.7141983359079735,10000000,0.1,-290517.23816097353,58.6434284331277
0.5019640783275182,0.026140536871747926,0.12918791963571238,0.6214182720850265,10000000,0.1,-291952.35132585134,427.045478774869
0.8611323362881774,0.020346678937781224,0.16404934774716237,0.5272517289116455,10000000,0.1,-294369.0121691326,891.0482848681044
0.37395465084766305,0.027837663827996614,0.1369895024702322,0.8110778618386358,10000000,0.1,-294858.5301149672,772.7499041925535
0.7574741894280026,0.02339259375522312,0.26998068316393503,0.7541487267017496,10000000,0.1,-300494.68951976683,171.51020288039
0.6491665013160787,0.019408187269794454,0.15663673889187482,0.6905907086875116,10000000,0.1,-301808.48888016515,360.2260149252077
0.8703812771008499,0.02112284934872888,0.18778006332747843,0.5457143349794156,10000000,0.1,-303008.83505955,435.19002633397463
0.5734176822903816,0.020535375997995337,0.17320541032552939,0.7755934070322953,10000000,0.1,-314497.9101583452,129.8569590505678
0.9848313731127432,0.014678759496740206,0.17236902824275654,0.6144820673681184,10000000,0.1,-318133.9338818378,693.1634976423578
0.7717787992105135,0.025696928053155908,0.3824005494583101,0.8898481785075898,10000000,0.1,-318815.5612590441,1568.9616561000526
0.8650904937508992,0.01397225792340636,0.16130443606077668,0.6866749408913656,10000000,0.1,-329628.5476794058,53.042238315852586
0.6072401743375344,0.017638390988745953,0.16358571088984358,0.7839430186902369,10000000,0.1,-330424.8416038817,13.626120258495211
0.7522706105164946,0.0178152519985386,0.13613482830913912,0.5636920225495645,10000000,0.1,-331803.50101702445,114.8311321241199
0.9137942921001558,0.016009856442129804,0.24459347513160495,0.760457807709452,10000000,0.1,-335949.5002698652,178.9027321468515
0.9506949057156076,0.011607966159002928,0.17579528068757846,0.7713285356532735,10000000,0.1,-341404.15611207654,1899.3312941824315
0.8192367954729819,0.014991925796603876,0.18614950133517943,0.7160889487251126,10000000,0.1,-353776.3302270275,1216.944048215146
0.462675585559614,0.3084773445256999,0.38256102087247784,0.8165226062631512,10000000,0.1,-361198.95399592415,522.7155867986264
0.8583540542680377,0.014482465300715161,0.15149123503546177,0.6065484768389234,10000000,0.1,-367184.80850812304,380.39350894633674
0.89137123253833,0.013357504458638063,0.2455877546758253,0.839882682963901,10000000,0.1,-402464.6765528892,2132.9782831782413
0.32839340559886115,0.019041242077702684,0.08787649666239054,0.835532484222589,10000000,0.1,-402847.5907522937,2355.639032421185
0.614091943117705,0.012022070729061998,0.08131986637812749,0.6841938164374307,10000000,0.1,-403157.0122048107,2044.5383416111115
0.7903030587259914,0.007821776784737416,0.08771974745763979,0.8331869466527823,10000000,0.1,-418304.06854317273,553.7936517809517
0.6421452124750342,0.009989129510081367,0.10295865493988025,0.8544490495981609,10000000,0.1,-420326.73011331016,785.1326656686141
